municipio,hospital,fecha,nombre,periodo,zo,ubicación,Coordedas Geograficas,,tipobom,operador de la bomba (movil),idbom,hora de inicio,hora de filización,tiempo de muestreo (min),influencia,hbomba,distancia del paciente (m),edad,sexo,ventilacion mecanica,sintomatologia,signos,patologia base,frecuencia cardiaca,frecuencia respiratoria,saturacion de oxigeno (%),tension arterial,tratamiento farmologico,PM1,PM2,parti,HCOH,TVOC,AQI,T,H,viento,caudal,tipo de filtro,filtro,vt,rotulo de la muestra,pcr,v_t,aire_acond,ventiladores,vehiculos,polvo
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,7,12.3,1145,0.02,0.09,30,39,44,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,9.1,14.4,2009,0.02,0.09,39,40,42,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,10.5,17.5,1679,0.02,0.09,41,31,65,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,11,18.3,1565,0.02,0.09,44,33,61,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,12.1,20.6,1709,0.02,0.09,47,34,59,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,11.4,18.8,1595,0.02,0.09,39,34,59,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,8.9,15.7,1871,0.02,0.09,37,34,58,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Planeta Rica,San nicolás,08/03/2021,Exterior,2,no critica,EXT,8.409.642,-75.591.631,Fija,,bom10,9:27,12:27,180,,0.96,,,,,,,,,,,,,11.3,17.4,1565,0.02,0.09,40,35,56,5.7,5.99,Nitrocelulosa,0.22,1075,PR10,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,13.9,24.9,2509,0.02,0.09,55,37,53,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,12.7,21.8,2345,0.02,0.09,52,40,46,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,9.9,16.8,2309,0.02,0.09,48,41,43,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,11.6,20,2147,0.02,0.09,48,44,39,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,12.8,22.2,3687,0.02,0.09,54,45,36,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Lorica,San Vicente de Paul,15/02/2021,Exterior,2,no critica,EXT,9.238.197,-75.812.232,Fija,,bom1,9:23,12:23,180,,1,,,,,,,,,,,,,9.3,15.6,1895,0.02,0.09,58,45,36,13.6,4,Nitrocelulosa,0.45,,LO1,0,si,no,no,si,si
Sahagun,San Juan,19/02/2021,Exterior,2,no critica,EXT,8.955.283,-7.545.075,Fija,,bom4,8:11,11:11,180,,1.5,,,,,,,,,,,,,17,27.2,1281,0.02,0.09,59,29,73,8.6,4,Nitrocelulosa,0.45,,SA4,0,si,no,no,si,si
